,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
6667,DCAF7,FAM228A,OR2J2,LAD1,GOLGA6L4,PINLYP,XKRX,AC068658.1,LY6G6F,CHST14,PXYLP1,SNCAIP,KRTCAP3
6668,SH2D3C,LSMEM2,C8orf89,RNF144B,F3,FXR2,AC021092.1,CD80,ABRAXAS2,GRM8,AC027627.1,AC010638.1,AC016745.1
6669,BET1,CPA6,ARHGEF33,FAM171B,TCF24,GINS2,AL031775.2,LINC01258,ZNF502,FAM98B,AL109976.1,AL356056.1,DENND6B
6670,AL928654.1,LRRC24,AC004875.1,AL121672.1,RELL2,IZUMO4,HERC3,AL034349.1,LINC02316,APP,WWOX-AS1,PNMA2,LINC02253
6671,RHOG,LINC01843,FAIM,CEP290,GFOD1,NR2F2,C4orf51,FANCF,LINC01716,GNAS,RAD50,SCN2B,PTPRZ1
6672,SH3BGRL2,CYP4A11,AL136985.3,AC092803.2,AC243772.2,AC015909.2,C1orf105,GDPGP1,TUB,NUDT21,HIKESHI,ZBTB21,OXR1
6673,NSUN4,ENOX1-AS1,LINC02546,AC007370.1,LINC01871,NDC1,AC096586.1,AC024075.3,AC124854.1,GABBR2,RAB1B,PCSK4,SPINK13
6674,TBRG1,SMG7,LINC01954,MRPL9,AC137630.2,RFX7,AC011483.2,AL845552.2,UBE2B,MRPL40,UCN2,FLT3,EXOG
6675,FUBP3,PPIAL4G,ZNF30-AS1,UTP4,AL596325.1,NIPSNAP3A,AC007038.2,AL445648.1,TCTA,DLX1,AL353693.1,SVOPL,GOSR1
6676,PLXNA2,NPPA,OR10H3,AC090541.1,ACOXL-AS1,GNE,ARHGEF3,AL021920.3,LINC01252,TMEM176B,SYT8,AC018685.2,ZNF502
6677,AC098934.4,CD84,RNF208,AC018410.1,LINC02124,AC024084.1,AC133919.2,AC005821.1,VPS8,PLGLB1,AC093019.2,PUS7,AL390728.6
6678,MTCP1,KIAA1755,SI,C2orf92,COL9A1,SMIM1,AC106779.1,LINC00609,AC023830.1,KIF18B,PKHD1L1,HBS1L,NAT10
6679,NYNRIN,LINC01259,CA5A,AC110491.3,AL138921.2,KCNS3,AL391832.2,RFC3,TACR3,ZNF700,AC002310.2,AC020892.2,LINC00051
6680,WDR6,C20orf187,OSTM1-AS1,AC253536.6,AP001816.1,DIO2-AS1,TMEM102,AL807740.1,RXYLT1-AS1,SMARCA2,AC020907.1,AC007493.1,HIBADH
6681,ZSCAN25,AC090241.3,AC080013.6,AL355102.3,FEN1,PLEKHM1,AP001636.3,KBTBD7,LINC01924,INPP5F,WWC3-AS1,LRRC29,USP13
6682,ATRN,SSX1,FMO5,AC079298.1,TAS2R46,IRX2,VPS13A-AS1,AC009955.1,AL390816.2,GTF2H2C,MXD3,AC009518.1,SLC30A8
6683,UCKL1,AL138694.1,ACER1,FCF1,AL451085.2,ZNF35,AC010624.3,LIG1,NEU3,TBXAS1,AC019209.3,COQ6,S100A1
6684,BAG1,KTN1-AS1,AC011306.1,TLE3,RANBP3,NOL6,CARD8,C18orf63,FBXO31,COL26A1,VAMP7,LINC01020,WNT2B
6685,LINC00857,AC025431.1,CYSRT1,CDK20,ALDH1L1-AS2,FLAD1,ZNF619,FNDC9,AL662907.3,UBE3A,CIP2A,IL23A,GEMIN2
6686,MNT,ZNF341-AS1,ATOH1,ENKD1,ATAT1,ZNF557,CEP128,ZFP42,AL365181.2,ITPRIPL1,ESPN,BAAT,EIF3CL
6687,PLXNB3,AC113414.1,BPESC1,DNAH10OS,FANCG,FAM227A,STEAP3-AS1,GATA1,ALG6,HNRNPUL1,SPIDR,RSBN1L,MYCBP
6688,AC016229.2,AC097658.2,SLC52A3,LINC01123,AC036214.1,VPS53,AL645608.1,CD164,AC003986.1,MRPL1,GDE1,CDK17,MTUS2
6689,SLC35A4,CELA2A,FGF3,TFF3,RTN4RL1,AC007613.1,SMCO3,AC020908.1,NAPB,RLF,OPRM1,ULBP1,NMNAT1
6690,AC123912.1,AC011939.3,AC007491.1,C8orf37,PEX5,RASGRF2,AC130324.1,AC011472.1,LINC02277,DDX11,EGLN3-AS1,ITGAX,LANCL2
6691,AADACL2,PAXIP1,AC027343.2,ASTE1,HSDL1,PCDHGA9,TCF19,AL591518.1,TBC1D22B,GPR89B,KLHDC10,AL445205.1,AC068234.2
6692,DALRD3,MAB21L3,GH1,AP006284.1,PRC1,ZNF160,TP53AIP1,RTL5,ZNF561,OTUD4,TTLL2,CYP4F22,AC068633.1
6693,ATG3,AL031731.1,PRNT,AC084018.2,PLCXD2,CDYL,UROC1,CSTF3,SLC27A3,EXOC7,DIS3L2,R3HDM1,RHOB
6694,AC026725.1,TBCC,AL109659.2,AC009121.2,EYA3,ADAMTSL5,DCAF1,PASD1,SH3TC2-DT,ELAC2,GJB5,AC005264.1,PLCXD3
6695,ZMYM1,AP003108.1,FBXO6,AL034376.1,GLB1L3,PAQR8,CLUAP1,NCOA7-AS1,CARMIL2,NAT14,LINC01644,AC010395.1,METTL6
6696,ZNF391,AL117335.1,PRDM7,ZBED3-AS1,TEX9,NCAPG2,LINC02340,AC129510.2,GNE,NAPB,TRAJ23,ANXA13,ZNF215
6697,IRX4,AC103996.3,AC102945.1,AC093495.1,GPR35,GPATCH4,CDRT15,CFP,LINC01994,USP3-AS1,LSM14B,PADI4,ZNF205
6698,ZDHHC4,FAM180A,AL391832.3,SPRR2E,GPAM,AC034111.1,PUDP,PLCE1-AS2,AC092171.3,KIF1BP,LINC01848,AL035587.1,FCHSD1
6699,AC007570.1,SLA2,KCNE2,NOSIP,PTPN2,AC244453.2,AC024896.1,CCL3L1,ITSN2,ELMOD3,LYG1,OPRD1,TMTC3
6700,PACSIN3,AC009019.1,AL133215.3,AC037459.4,ZNF676,PRR14L,RHOQ,CGGBP1,AC114781.2,C1RL-AS1,DACH1,LINC00237,MMP15
6701,PRSS55,LAT2,CXorf65,KLHL36,TVP23B,AC100788.1,BTBD18,LINC01288,IGFBP7-AS1,MICU3,AC137579.1,B3GALNT2,STARD3
6702,BBS7,AC006547.3,AC023137.1,AFG3L2,TPTE2,TPSAB1,AC134682.1,UGT2B4,AL133367.1,PJA2,AC103876.1,FBXL19,CHCHD3
6703,ZC3H13,AC025287.3,ASB4,ZRSR2,ZSCAN25,STRN3,CYP2U1,SEC24B,AC016735.1,RGPD8,SLC25A12,AC009276.1,CPT1B
6704,AL121987.2,SAP25,AP003486.1,AC123768.4,SUV39H1,DNASE1,HAPLN2,LINC01888,HECTD4,GGT7,AL139147.1,AP002008.1,RPL34-AS1
6705,SKP1,FAM214A,SYNE4,AC096992.2,CRYBG1,CLEC16A,AL445931.1,AC130324.1,TRAJ49,RBL1,AP002833.2,RPE65,MADCAM1
6706,KLHDC9,RIC8B,CLEC19A,AL049795.1,AC012254.1,DCUN1D5,C1orf115,CD244,EPHA5-AS1,DGKQ,OGDH,AP001150.1,DRAP1
6707,FBXO34,AC136475.5,PSIP1,LINC01478,KYAT3,ASH2L,TENT2,RSPH4A,LINC01843,PRKACA,AP006545.2,AP005229.1,ZNF461
6708,TSTD1,PGP,CINP,AC104407.1,NALCN,CABP1,UNC5CL,AL162595.2,MRPL50,LUC7L3,CYP27C1,ARMC2,ZNF517
6709,AP001453.2,AC006483.2,GHRH,AP001469.3,AC006441.3,AC104389.5,AC010776.2,GLIPR1L2,AC008992.1,PPT2,ZCRB1,AL606760.2,TMEM120B
6710,MTFMT,FOXRED2,MKS1,AC010776.2,AC068831.1,AP001505.1,MYH11,TMEM99,HIST1H2BE,STXBP5L,POMK,MLF1,C2CD3
6711,AC096773.1,SPAAR,TRAV6,AC019254.1,PRSS22,PSMA3,ERICH1,U95743.1,CRNKL1,PIWIL4,AC008415.1,CCDC141,LINC01554
6712,AL121990.1,NUDT9,AMER3,LINC01447,SPATA1,GATD3B,CA14,LINC01707,AC092718.5,AC013451.1,DNAJC27-AS1,ABHD13,AC008937.2
6713,AL139042.1,AC011825.4,AC098850.2,LINC01767,A1BG-AS1,SYNGAP1,STKLD1,GCNT3,LINC02119,NUP210L,YARS,OVCH1-AS1,CD101
6714,C9orf152,PGLYRP2,CTXND2,AL133551.1,ZKSCAN7,CCDC74A,ARMC5,LINC02286,C6orf58,ZMYM3,AC067838.1,FAM167A,TMEM185B
6715,Z99289.2,AC093801.1,IL12B,AC040977.1,BX284668.2,CENPV,FLRT1,AWAT1,THSD4-AS1,RBM47,CENPVL3,FASTKD1,GPR39
6716,LIMD2,AC107079.1,MBNL3,AC079148.1,AC020907.3,ZDHHC18,AC044849.1,AC079154.1,RAB11B-AS1,AC087392.1,ROPN1L,CPN2,MLLT10
6717,AL731566.2,AC073575.2,NUTM2F,AC132803.1,ZNF853,NUP133,AC034102.5,LINC01749,LINC00476,RAPGEF6,GAD1,NOC4L,TMPRSS4
6718,TRAM1L1,LINC02044,LYRM7,HCRT,ANO9,AC012508.1,AC004542.2,AC129102.1,PACSIN1,ATG4A,ACOT12,BRF2,TCAF2
6719,TMEM86A,CLIP1-AS1,AL121890.3,AL031123.2,SCNN1D,AC021851.1,AC012645.1,LINC01496,LINC02335,MDM1,C6orf58,POFUT1,AC026726.1
6720,AC107068.2,KLF13,AC005580.1,SLC4A4,FAM155B,NUF2,LINC00676,LINC00315,AC068875.1,TUBGCP5,AC239802.2,TMEM68,BPI
6721,R3HDM1,SNAI2,AC130343.1,VPREB3,ASMTL-AS1,UBXN8,ZNF225,SNHG22,TAZ,ABHD17B,LRIG2,C5orf66,MTFR1L
6722,PRMT5-AS1,ZSWIM4,AL445072.1,AC007250.1,PIP,HJURP,GFOD1-AS1,ARHGAP27,MKRN2OS,LIN7B,SLC35B2,LINC02073,MZF1
6723,AC009299.3,LINC02066,AC116003.2,AC005304.2,LINC00865,C8orf87,CPT2,AL355432.1,KLRG2,LINC02284,LINC01018,LIMK2,GABRA6
6724,MID1IP1,MYH7B,SHANK2-AS3,ATRIP,TBL1Y,OVCH1,RBM15-AS1,LINC00637,AL035587.1,RTKN,AP005121.1,RAD23A,AC092140.1
6725,KCNE1B,RHBDL2,AP001330.1,AC025465.1,INAVA,CLEC11A,AC124893.1,CKMT1A,SIRT5,CSRNP2,AC068196.1,LRFN4,FAM221A
6726,TRMT13,INHBC,AC113404.1,AL158817.1,ATAD3B,AC234582.1,AC245140.1,LINC01280,AC097625.1,PRELID3A,AL121820.1,ACAT1,ZNF347
6727,C10orf143,AL365203.2,AC005697.2,AC079801.1,AC116609.3,ZIC4,RBMXL1,AP4B1-AS1,CDH26,ZNF639,GLCCI1,PTPRZ1,SCGN
6728,AC107068.1,AC073052.2,CBS,LRRC3,AL162311.3,ABCA2,DBT,LINC01785,KLHL32,MTX3,AP1M2,AC020911.1,AL449983.1
6729,AL161669.3,TSLP,GSTA4,AP001269.4,AC004596.1,PRIM1,PELI3,PIN4,AC009087.1,ZC3H4,AC109597.1,AC008592.4,POLD1
6730,AGRN,CCDC117,AC105362.1,ZNF630-AS1,TRIL,FBLL1,LINC00278,AP001825.1,C6orf47-AS1,BLM,GLRX,AL360182.2,CELA3B
6731,RUSC1-AS1,PARD3,LINC00563,LRRC3C,JAG2,PRR14,AL162734.1,AC007216.4,WDR83,SLC6A8,AC136624.2,WRAP53,DGKK
6732,TIGD2,AC044802.2,IGKJ4,AL024508.1,AC078923.1,BHLHE40,LINC00672,FRMPD3-AS1,AP001207.3,MIATNB,PRR12,MYBPC3,PGLYRP2
6733,FBXO33,PRRG2,RNF14,AC087623.3,XRCC2,SKA3,SLC25A24,AC114811.2,C1orf94,DGCR2,AC091885.2,MEIKIN,DNM1P35
6734,AC010531.6,AC073896.3,AC131902.1,AL049748.1,TNKS1BP1,AL162431.1,LINC01674,Z98885.2,ZNF23,GTF3C5,ANAPC10,ZBP1,MYO5C
6735,SSB,LINC01783,HIST2H2AA3,AC005614.1,LINC00638,MCM6,AP001360.2,TRIM64B,XPA,USP25,AJ009632.2,AL023755.1,MAST1
6736,LINC00839,AC067817.2,AC012506.3,GTF2A1,GRM5,PRKG1-AS1,LINC02036,SOX21-AS1,ATG9B,AC008269.1,STX19,TMEM131,CBWD3
6737,ZDHHC3,KCNA7,PRAMEF6,JAGN1,DOC2B,MAIP1,SKP1,FP325330.1,LINC02129,LINC02085,AC093864.1,LINC01926,AC018845.1
6738,LRRC29,DCSTAMP,AC137735.1,AC107959.2,PLD4,PTK6,TRG-AS1,ASB10,LINC01287,ACVR2B,PIP5K1A,BCAR4,ADAM9
6739,CHRFAM7A,DDX25,AC008040.1,SEMA6A-AS1,AP002075.1,LINC01834,SUOX,PHOSPHO2,AC104984.1,CEP152,IFNAR2,ANKRD13A,SH3GL2
6740,OGFOD1,LINC02063,LINC02468,NPTX1,ZNF79,AC138028.1,GALNT16,AC005479.2,AC112229.2,TRAF4,PLK4,AC012184.1,AC083906.3
6741,USP30-AS1,AC073869.5,PITPNM2-AS1,CPA1,TMIE,GDI1,AC008758.2,AC004490.1,AC245140.3,LRRN3,DLK2,FAM237A,LINC00499
6742,PNLDC1,BSN-DT,AC007879.4,AL390037.1,DCAF4L2,LINC01905,POMZP3,AC004231.1,AC084782.2,ZFYVE1,SECISBP2,AL355981.1,ZNF26
6743,KIAA1586,APOBR,AC009120.3,AC005479.2,NAE1,TBC1D8B,AL360014.1,AL035412.1,LRRC26,TEFM,SKA1,CCDC188,ST3GAL6-AS1
6744,AC138123.2,PWRN1,R3HDML,SMYD5,SNRNP35,AP001267.2,AC012368.2,LRRIQ4,OXSM,GSC,MFNG,RFT1,AC009961.1
6745,UST,AL135937.1,CUEDC1,AC004908.3,POLN,EEFSEC,AC007663.2,EIF4B,AC239802.2,ST8SIA1,POU2F3,SERAC1,AC025871.1
6746,AC106738.2,LILRA6,DAOA,PAIP2,AP003392.5,STK25,ZNF324,SLC25A18,KIF4A,RWDD2B,SH2D2A,MIB1,ZNF540
6747,NCKIPSD,AC009021.1,AC012462.1,AC004946.1,AC025284.1,GALNT6,MAX,AC027312.1,GNG4,C2orf81,GABBR2,AC110597.1,NCF2
6748,IPO9,AL589669.1,AC110048.2,AC079061.1,ATP13A1,IMP3,AP001107.4,AC010320.3,IDI2,UCHL5,AL033527.2,AL358075.1,SLC4A10
6749,MIR210HG,NIPSNAP3B,TRPC7-AS2,UBASH3A,PRKAR2A,ASIC4,SMCR8,AC087294.1,EBAG9,FBXL14,CNTNAP1,AL158090.1,ALMS1
6750,RALA,AL033530.1,C10orf113,AC091185.1,TLR9,AL683807.1,DGKK,AC008897.3,AL391645.1,CASP2,RSPO3,LINC00470,SENP7
6751,NECTIN3-AS1,SNX32,RHBG,AC006027.1,AC006449.3,MALRD1,TOR1AIP2,CMTM2,DPH1,WFDC3,AC011483.1,PLEKHG3,TRAF3
6752,PRRX2-AS1,CCR6,YPEL1,AL031731.1,MRGBP,DCAF10,AC007950.2,ERICH6,TTBK1,AC027698.1,NDST1-AS1,AL449983.1,ARHGDIG
6753,ME2,HLA-DOB,SPATA6,THOC1,AL121990.1,DENND2C,AC024361.2,CHST8,TRIM66,LURAP1L,SIRPG,SLC10A1,OXT
6754,CBLN2,PLS1-AS1,AL022314.1,ADAM11,C20orf96,IER3-AS1,FLVCR1-DT,PLEKHH1,SPDYE16,ACP6,PIK3R6,TRIML2,DENND2C
6755,AC011444.2,AC010261.1,AC233280.1,GPR62,ZNF653,RAD52,AC245452.1,LINC01185,IL5,AC138305.1,AC006042.2,LINC02262,UNC5D
6756,GATC,AC048382.5,AC091946.2,TMEM245,AL590666.3,LINC00370,CEP83-DT,AC018767.1,AC016252.1,RPRD1B,CYP20A1,TP53INP1,M1AP
6757,ITGB3BP,AC078925.1,IFNA14,NUGGC,Z94721.1,CNN3,AC078785.1,LINC02071,PRR12,DPP6,ERICH6B,GPR85,CCDC39-AS1
6758,AL390856.1,SMCO1,TRBV5-5,TCL1A,MORN3,FSIP2,TARS2,IL26,AC090023.2,RAPGEFL1,SHCBP1L,FO393419.2,ZNF830
6759,PRH1,AL160408.2,AC087664.2,DOK7,AC145285.3,MINDY1,LINC02435,CEACAM6,PILRB,NUDT2,LYPD6B,C3orf67-AS1,SPATA20
6760,ZNF721,GOLGA8M,AC022118.1,AC011595.1,GINS3,INTS11,FAM221B,LINC01592,AC006076.1,CRAT,LINC02308,DGKZ,LYSMD4
6761,ZNF792,AC025165.5,AC022098.4,LINC02135,PCF11-AS1,SDC1,AC090826.1,TSPYL6,EFCAB6-AS1,IRS1,HIST1H3G,AC005220.1,OTULINL
6762,MRPL58,LINC00624,AP003043.1,METTL3,ARMC2,LINC01116,AL356488.3,AC021355.1,LINC02558,ATL2,FAM118A,NOC2L,WDR24
6763,SLC41A3,FADS6,AC003984.1,MED6,HSD11B1,AC012615.2,LINC00868,AC026904.2,ANXA13,AC015849.1,AC095350.1,CPB2,IMMP1L
6764,ZNF385D-AS1,AC009275.1,AL159166.1,IGLV5-52,IGHMBP2,PRPF40B,LEMD2,ANKRD61,PRKAB1,MTMR14,AL513314.1,GP6,PLPBP
6765,ZNF621,AC135012.1,AC073869.3,CD1B,AC015961.1,DUS4L,SACM1L,STT3B,HIST3H2A,SNU13,TMEM169,ACRV1,LINC01603
6766,EIF4E2,IL9R,AL591468.1,AP000355.1,AC007114.2,PRMT3,SIRT7,MYH3,CRYZL1,STX12,MAGIX,AL451069.2,ZNF653
6767,CHAC1,AP003774.2,A2ML1,SAFB2,AC022007.1,HCG25,GUCA1B,AC079601.1,AC073254.1,AL359643.3,DGKB,BVES,MPP1
6768,INPP5E,AC009053.2,AC012615.4,ZNF354C,CCDC138,CCDC157,AL139423.1,AC092364.1,ZHX3,AL137186.2,PEX11G,ZNHIT2,CFAP69
6769,NKILA,SPINT1-AS1,ST6GALNAC3,KLRB1,AC024270.4,OSGEP,AC012313.6,ESPN,AC015853.3,MOSMO,KLRB1,LINC01476,FAM225B
6770,LINC01911,DZIP3,AL136309.4,PRSS16,RIC8B,AC104041.1,ABCE1,AF127577.2,LINC00558,ABHD4,SLC3A1,IGFBP7-AS1,MRPL21
6771,AC091932.1,AC021422.1,C1orf158,NUDT2,ZNF414,DCAF4,AC089987.2,BTNL9,AC018742.1,ADCY6,TTTY9B,AL117332.1,AKR1B15
6772,LINC00562,RNF215,CHGB,YPEL3,LINC02133,DDB1,NMT1,SYT5,AC007953.1,UBTD2,CRISPLD2,AL157378.1,MEGF11
6773,RNF135,KCNA2,AC068880.3,AC009950.1,LINC02056,ZKSCAN2,Z93930.2,KDM4A-AS1,FA2H,CR381653.1,LINC01374,CPEB2-DT,CD300C
6774,PGRMC2,CELA2B,AP000221.1,LINC02247,SEMA3F-AS1,TEFM,AL353596.1,LINC02299,AL132780.1,PNISR,AC012568.1,AC104009.1,CACNA1C-AS1
6775,GABPB2,LINC00635,KRTAP11-1,OR1I1,TEP1,ERVMER61-1,AL512303.1,CAGE1,SMIM17,AP005019.1,AC109466.1,TECPR1,DIAPH3
6776,IL10,Z95114.4,CARD8-AS1,SPATA19,AL049840.2,ZIC3,CAMLG,AL445623.2,AL359644.1,PGM1,TMPRSS13,AC125616.1,PITPNA
6777,ANKRD42,AC021491.1,AC063962.1,PCDHB7,AC114488.3,TRUB2,TRIM46,AC003070.2,CACNG4,MRPS27,AP004609.1,DPYSL5,NICN1
6778,FOXA3,LPCAT4,MAGEA4-AS1,RNF19B,AL356512.1,ZFP30,AC007773.1,ATP13A5,ATXN7L1,CEP19,ZBTB6,MADD,AC022872.1
6779,SULT1A3,LINC02126,CCDC173,RNASE6,PNO1,ZNF568,AC009090.2,AC022874.1,AC127070.2,AC022509.2,PCDH9-AS4,AC137579.1,RASGRF2-AS1
6780,RBM48,AC107958.2,AC021491.4,LINC01001,ZBTB25,C10orf88,ANKRD31,AC093607.1,PABPC5,HARS2,CACNA1C-AS3,KIF15,PCCB
6781,MESTIT1,AC005871.2,AC091826.2,UBE3D,LPAR2,LINC02036,AL512408.1,AC025437.4,KREMEN2,POLR2I,PHKA2,PTRH1,MAVS
6782,PCDHGB6,RNF223,KRT40,AL022097.1,AC009133.4,CTPS2,AC092354.1,AC092674.1,LINC01338,LMF1,AL109936.6,AC099786.3,YJEFN3
6783,AC079298.1,DEFB118,AP001266.2,AC087071.1,PRKAR2A-AS1,PRR7-AS1,COG4,AC015961.2,TMEM246-AS1,UTP20,C19orf71,PRG2,LINC02066
6784,ADPGK,KCNK15-AS1,KRT13,EPS8L1,ACBD6,GORASP1,PIP5K1A,GSDMA,ZNF350-AS1,CCDC28B,AL139351.1,MOSPD1,C16orf86
6785,FTSJ1,LRRC42,AL135746.1,AL357568.1,AC008277.1,TBKBP1,ARHGEF18,PARP11,FANK1,VPS13A,CASC9,MDM2,PTH
6786,SIVA1,AP002812.5,LINC02046,BCL9,ZNF345,DFFA,AC007608.1,AC019155.2,WDR92,TRO,FSCN2,AL157834.1,AC010168.1
6787,AL357833.1,FOXC2,AC062039.1,LINC01481,AL356019.2,SLC1A4,MYL7,RBM12B,STAT5B,LINC02240,LINC00861,PCDH1,ZDHHC13
6788,PITPNC1,MIOS,LCN8,FBXL3,CA7,ZFP90,VPS41,LEMD1-AS1,AP1M2,CACHD1,AC073626.1,NDRG4,LINC01354
6789,CADM3-AS1,CPLX1,DMRTB1,NATD1,PITPNA-AS1,ZNF480,SLCO4A1-AS1,CRB1,AC091059.1,WRAP53,RAVER1,AL355297.2,LINC01902
6790,C9orf72,ELOVL7,AC008655.1,AC130343.2,ULK3,AC022087.1,ATP13A2,C4orf33,AC007040.1,GPR108,KCND1,AC008543.1,ZNF282
6791,BX255925.3,PRKX-AS1,AGRP,HIST1H4F,TMX4,AC004148.1,TMEM202-AS1,LINC02260,MAEL,TMX2,AC114730.2,PNPO,C1QB
6792,CTAG2,AC132219.1,DEFB108B,C11orf91,AL353622.1,TMEM51-AS1,SLC3A2,LINC01511,SLC22A8,KDM5D,TAOK2,C5orf46,CHD8
6793,LINC02418,AC079601.1,HSFX2,PAN3-AS1,AC008105.3,AC008393.1,AC114488.2,SLAMF9,UBE2L5,RMI1,AC007277.1,GABRA1,AC007383.2
6794,PSMD6,AP002490.1,PSG2,TMEM252,QRFPR,DACH2,ABHD11,LEFTY1,AC023154.1,AC016745.1,AF127936.2,AC078842.2,IQCN
6795,INAFM2,AC114956.2,TREX1,LINC02265,NKIRAS1,ANLN,PCDHB6,AC092295.2,AC012574.1,INTS2,AC018861.2,CD300C,F8
6796,FAM182B,AL034374.1,AC093801.1,GABPB1,AC027307.1,LMLN,AC004923.4,AC092159.1,LINC00290,NECAP1,AC008691.1,RABL6,C1orf74
6797,TMEM196,GAB3,AC092720.2,LZIC,ULBP3,RUVBL2,AC073283.2,AP004147.1,FOXN4,ZNF41,CACTIN-AS1,OR6J1,RNF40
6798,GNAI2,CSRP3,TTC27,ZNF287,COPB1,AC132872.1,AC092447.5,AC021491.4,KHDC1,C10orf55,CD160,OPN1SW,SERINC4
6799,RASL12,SIGLEC11,AC092490.1,AC005726.5,SETD3,CDH22,AC011933.4,LINC01189,UPP2,LINC02539,AL139289.1,HUNK,AC093567.1
6800,LINC01563,ANKRD30A,KRBOX4,KLHL10,ZNF432,LINC01198,MMP28,AC007610.1,AC127521.1,CASP8,TRAF3IP1,PAQR3,PHKA1-AS1
6801,MAP1S,ANKRD20A4,KC877982.1,ARSD-AS1,AC116021.1,TRARG1,CMPK2,DEFB118,AC114550.1,CPNE2,CERS3,LINC01778,LCMT1-AS2
6802,MTHFSD,AC008592.5,F11,HIST1H2AM,AC138028.2,AC090971.1,SMIM10L2B-AS1,AC010632.1,LIPE-AS1,UBXN7,FURIN,RAB19,CCDC61
6803,FGFR1OP,AC092115.2,SYNPR-AS1,SPRR1A,REELD1,AGAP9,AC105393.1,ATP6V1C1,AC010538.1,FUS,RNF212,ATP6V0A4,AC073878.1
6804,CPOX,TRPC5OS,PANX3,SCARB1,NTRK3-AS1,SOAT2,GHITM,FGR,CAAP1,POLR2D,ZNRF3-AS1,HOTTIP,SP100
6805,ALG10,TTC21B,DYTN,LINC02018,STRN4,AC011773.4,C8orf34-AS1,AL117209.1,CCDC17,C3orf67,AL603839.1,OPRM1,AC016751.2
6806,PCM1,BX323043.1,LINC02176,AC107952.2,AP000350.7,LPCAT4,AC099568.2,AC006213.3,AC017000.1,TMEM132B,AC084855.1,LINC01363,AL162171.2
6807,AC137056.1,AC130469.1,AC015819.1,SPINT3,AC008453.1,IFT140,AL121928.1,FAM3D,RBM45,DNM3OS,KRT12,RNF111,DNAJC22
6808,FBXO48,AC138811.1,LACRT,LINC01480,ZBTB42,AL080276.2,BCKDHA,AL158175.1,ZAN,NOP14,AC130371.2,AL118523.1,ZKSCAN4
6809,AC087623.2,RNF40,ANXA9,AC104076.1,LARP1,FBXO31,ZNF791,TTTY4,AL109933.1,UTP11,TENM1,LINC02542,NUDT13
6810,JAKMIP3,AC007029.1,CPNE4,LINC01424,C2orf15,ZNF256,AL162253.1,SRY,LINC02027,ZNF506,RNF175,PSG4,ZNF567
6811,AC012313.2,FSIP2,TMEM269,FOSB,SLC39A2,SIRT4,AC123786.1,LINC01789,AC100778.3,PLCB3,AC022960.1,CKM,OTUD6B
6812,LIN52,UBXN2A,AC087273.1,AP001437.1,CLPB,ZNF45,AC069294.1,UGT2B15,PDZRN3-AS1,AL157392.2,KIAA0355,CLEC4A,ALKBH3-AS1
6813,AC008063.1,ALDOC,BTBD9-AS1,LINC02078,SLC16A8,DCLK2,ST3GAL5-AS1,HCG22,CYP2E1,NIPSNAP1,RTRAF,LINC02509,RGPD3
6814,SPIN3,AC104350.1,APOB,AC105094.2,MTFR2,PITPNM1,LINC01386,SACS-AS1,AC036108.2,AC096733.2,FAM83F,AC009961.1,UNC5B-AS1
6815,COMMD9,GPATCH3,CFHR4,FABP1,CPNE1,COG1,AC004895.1,AC087362.2,PYCR2,SLC11A2,PIK3CG,EP400,AC078962.2
6816,B4GALT2,MKRN2OS,ANXA10,TMEM121,AP001062.1,F8A1,LINC01776,LINC01926,CFAP44-AS1,MILR1,CHKB-DT,AC097521.1,FAAP20
6817,AC131971.1,ERLIN1,TXNDC12-AS1,CGB7,AL359513.1,PKD2L2,TSSK1B,AC016575.1,CROCC2,SPINT1,RIN2,LINC01004,LINC01747
6818,SNX15,LNP1,AC104996.1,PPP2R3B,C11orf97,FZR1,AC103770.1,RAP2C-AS1,IWS1,PRPF19,TICRR,AL590434.1,ZNF618
6819,AC068580.3,SUDS3,AC080023.1,RAB8B,AC021086.1,AC083973.1,CR936218.1,AC108471.2,AC008764.8,ZNF627,CRAMP1,PCGF6,PPP6R1
6820,ARHGAP19,AC107214.2,AC137579.1,SLC9A3,SAPCD2,RPUSD2,AP002505.1,LINC01958,CAPN8,ARHGEF25,GPR132,AC124893.1,AC087762.1
6821,IGF2,AC007272.1,AC104458.1,AC093382.1,AL121936.1,PLEKHM2,FCGBP,AL137224.1,RP1,TFIP11,AC093732.1,AC008649.2,ZNF33B
6822,TADA1,LINC02316,AL358473.2,GDPD3,MIXL1,SGPP1,AC011825.2,PCDHA11,ZNF679,RIDA,PRH1,WDR53,AC073172.1
6823,NCOR1,AC114956.1,AC060809.1,AC016642.1,RFX5,AC009403.1,CNOT7,MED4-AS1,AP003392.5,PEX6,AL669970.1,HIGD1B,AL445490.1
6824,PPCDC,AC104071.1,AC002368.1,AP000915.1,NBPF1,DUSP11,AC022916.1,SYCP1,RSPH14,CASD1,AL079307.2,RAD21L1,ZNF404
